decada,nome_regiao,estado,nome_estado,urbano_rural,grupo_etario,sexid,saldo_migratorio,saldo_migratorio_indireto,populacao_t,populacao_t_10,taxa_liquida_migracao,taxa_liquida_migracao_ind
1960-1970,Nordeste,AL,Alagoas,Rural,20-24,Homens,-11575.5719482813,0,31615,39777,-0.291011688872497,0
1960-1970,Nordeste,AL,Alagoas,Rural,20-24,Mulheres,-12810.7927334678,0,35272,41210,-0.31086611825935,0
1960-1970,Nordeste,AL,Alagoas,Rural,20-24,Total,-24386.3646817491,0,66887,80987,-0.301114557666652,0
1960-1970,Nordeste,AL,Alagoas,Rural,25-29,Homens,-9159.12367462263,0,24588,31455,-0.291181804947469,0
1960-1970,Nordeste,AL,Alagoas,Rural,25-29,Mulheres,-10045.2827952613,0,28633,32744,-0.306782396630261,0
1960-1970,Nordeste,AL,Alagoas,Rural,25-29,Total,-19204.4064698839,0,53221,64199,-0.299138716644868,0
1960-1970,Nordeste,AL,Alagoas,Rural,30-34,Homens,-4754.50435973215,0,20548,24237,-0.196167197249336,0
1960-1970,Nordeste,AL,Alagoas,Rural,30-34,Mulheres,-5526.43074141316,0,22203,25124,-0.21996619731783,0
1960-1970,Nordeste,AL,Alagoas,Rural,30-34,Total,-10280.9351011453,0,42751,49361,-0.208280527160011,0
1960-1970,Nordeste,AL,Alagoas,Rural,35-39,Homens,-2706.98149947344,0,20094,21105,-0.128262568086873,0
1960-1970,Nordeste,AL,Alagoas,Rural,35-39,Mulheres,-3922.47805755487,0,21277,23004,-0.170512869829372,0
1960-1970,Nordeste,AL,Alagoas,Rural,35-39,Total,-6629.45955702831,0,41371,44109,-0.150297208212118,0
1960-1970,Nordeste,AL,Alagoas,Rural,40-44,Homens,-196.160695032093,0,18875,19999,-0.00980852517786354,0
1960-1970,Nordeste,AL,Alagoas,Rural,40-44,Mulheres,-2267.72457653276,0,17738,19261,-0.117736596050712,0
1960-1970,Nordeste,AL,Alagoas,Rural,40-44,Total,-2463.88527156486,0,36613,39260,-0.0627581577066953,0
1960-1970,Nordeste,AL,Alagoas,Rural,45-49,Homens,-1771.5783771539,0,15654,15802,-0.11211102247525,0
1960-1970,Nordeste,AL,Alagoas,Rural,45-49,Mulheres,-3736.56598339666,0,14354,14450,-0.258585881203921,0
1960-1970,Nordeste,AL,Alagoas,Rural,45-49,Total,-5508.14436055056,0,30008,30252,-0.182075378836128,0
1960-1970,Nordeste,AL,Alagoas,Rural,50-54,Homens,-1353.73830003305,0,14402,14795,-0.0914997161225447,0
1960-1970,Nordeste,AL,Alagoas,Rural,50-54,Mulheres,-2934.52727196402,0,12787,12862,-0.228154818221429,0
1960-1970,Nordeste,AL,Alagoas,Rural,50-54,Total,-4288.26557199707,0,27189,27657,-0.155051725494344,0
1960-1970,Nordeste,AL,Alagoas,Rural,55-59,Homens,-2107.87792337355,0,9349,10259,-0.205466217309051,0
1960-1970,Nordeste,AL,Alagoas,Rural,55-59,Mulheres,-3301.22281031023,0,7918,8466,-0.389938909793318,0
1960-1970,Nordeste,AL,Alagoas,Rural,55-59,Total,-5409.10073368378,0,17267,18725,-0.288870533174034,0
1960-1970,Nordeste,AL,Alagoas,Rural,60+,Homens,-3991.30743294902,0,21617,23304,-0.171271345389162,0
1960-1970,Nordeste,AL,Alagoas,Rural,60+,Mulheres,-6739.02621214382,0,20218,19987,-0.33717047141361,0
1960-1970,Nordeste,AL,Alagoas,Rural,60+,Total,-10730.3336450928,0,41835,43291,-0.247865229380075,0
1960-1970,Nordeste,AL,Alagoas,Total,0-4,Homens,-7778.96223012015,-23336.8866903605,102907,134644,-0.0577742954020985,-0.173322886206296
1960-1970,Nordeste,AL,Alagoas,Total,0-4,Mulheres,-6601.57182988682,-19804.7154896605,102518,135981,-0.0485477517438967,-0.14564325523169
1960-1970,Nordeste,AL,Alagoas,Total,0-4,Total,-14380.534060007,-43141.6021800209,205425,270625,-0.0531382320924045,-0.159414696277214
1960-1970,Nordeste,AL,Alagoas,Total,5-9,Homens,-8147.74472554941,-2715.91490851647,96352,122668,-0.0664211100331741,-0.022140370011058
1960-1970,Nordeste,AL,Alagoas,Total,5-9,Mulheres,-6281.581887543,-2093.860629181,95705,122710,-0.0511904644083041,-0.0170634881361014
1960-1970,Nordeste,AL,Alagoas,Total,5-9,Total,-14429.3266130924,-4809.77553769747,192057,245378,-0.0588044837479008,-0.0196014945826336
1960-1970,Nordeste,AL,Alagoas,Total,10-14,Homens,-2742.62971849558,0,80823,101507,-0.0270191190607109,0
1960-1970,Nordeste,AL,Alagoas,Total,10-14,Mulheres,-3248.776159578,0,82157,103748,-0.0313141087980299,0
1960-1970,Nordeste,AL,Alagoas,Total,10-14,Total,-5991.40587807358,0,162980,205255,-0.0291900605494316,0
1960-1970,Nordeste,AL,Alagoas,Total,15-19,Homens,-5799.68614779938,0,65839,86118,-0.0673458063099396,0
1960-1970,Nordeste,AL,Alagoas,Total,15-19,Mulheres,-6683.80401968588,0,73252,93108,-0.0717854966241985,0
1960-1970,Nordeste,AL,Alagoas,Total,15-19,Total,-12483.4901674853,0,139091,179226,-0.0696522277319432,0
1960-1970,Nordeste,AL,Alagoas,Total,20-24,Homens,-9532.72851295165,0,46511,65453,-0.14564234661439,0
1960-1970,Nordeste,AL,Alagoas,Total,20-24,Mulheres,-8956.46786313828,0,55452,72188,-0.124071422717602,0
1960-1970,Nordeste,AL,Alagoas,Total,20-24,Total,-18489.1963760899,0,101963,137641,-0.13432913431383,0
1960-1970,Nordeste,AL,Alagoas,Total,25-29,Homens,-8661.79683589139,0,36515,50424,-0.171779248688945,0
1960-1970,Nordeste,AL,Alagoas,Total,25-29,Mulheres,-8729.85135245579,0,45402,56024,-0.155823421256172,0
1960-1970,Nordeste,AL,Alagoas,Total,25-29,Total,-17391.6481883472,0,81917,106448,-0.163381634115692,0
1960-1970,Nordeste,AL,Alagoas,Total,30-34,Homens,-2392.38155690359,0,31220,39717,-0.0602357065464055,0
1960-1970,Nordeste,AL,Alagoas,Total,30-34,Mulheres,-4029.39052684991,0,36007,44163,-0.0912390581901118,0
1960-1970,Nordeste,AL,Alagoas,Total,30-34,Total,-6421.7720837535,0,67227,83880,-0.0765590377176144,0
1960-1970,Nordeste,AL,Alagoas,Total,35-39,Homens,-65.8528039149314,0,30686,34832,-0.00189058348400699,0
1960-1970,Nordeste,AL,Alagoas,Total,35-39,Mulheres,-1756.20680911784,0,34425,40942,-0.0428949931395105,0
1960-1970,Nordeste,AL,Alagoas,Total,35-39,Total,-1822.05961303277,0,65111,75774,-0.024045973724929,0
1960-1970,Nordeste,AL,Alagoas,Total,40-44,Homens,2331.49464282387,0,27963,33030,0.070587182646802,0
1960-1970,Nordeste,AL,Alagoas,Total,40-44,Mulheres,-301.048001280018,0,28278,34617,-0.00869653642083422,0
1960-1970,Nordeste,AL,Alagoas,Total,40-44,Total,2030.44664154385,0,56241,67647,0.0300153242796259,0
1960-1970,Nordeste,AL,Alagoas,Total,45-49,Homens,-129.894768346941,0,23814,26720,-0.00486133115070889,0
1960-1970,Nordeste,AL,Alagoas,Total,45-49,Mulheres,-2574.18521107459,0,23674,26856,-0.0958514004719462,0
1960-1970,Nordeste,AL,Alagoas,Total,45-49,Total,-2704.07997942153,0,47488,53576,-0.0504718526844394,0
1960-1970,Nordeste,AL,Alagoas,Total,50-54,Homens,344.742935851657,0,21185,24282,0.014197468736169,0
1960-1970,Nordeste,AL,Alagoas,Total,50-54,Mulheres,-1482.81685420036,0,20853,23703,-0.0625581932329391,0
1960-1970,Nordeste,AL,Alagoas,Total,50-54,Total,-1138.0739183487,0,42038,47985,-0.0237172849504782,0
1960-1970,Nordeste,AL,Alagoas,Total,55-59,Homens,-1317.83932127856,0,14323,17507,-0.0752749940754306,0
1960-1970,Nordeste,AL,Alagoas,Total,55-59,Mulheres,-3040.78108477558,0,13664,16370,-0.185753273352204,0
1960-1970,Nordeste,AL,Alagoas,Total,55-59,Total,-4358.62040605414,0,27987,33877,-0.128660164892232,0
1960-1970,Nordeste,AL,Alagoas,Total,60+,Homens,-2186.49899470616,0,32635,38760,-0.0564112227736366,0
1960-1970,Nordeste,AL,Alagoas,Total,60+,Mulheres,-5426.70831396731,0,34178,39356,-0.137887699816224,0
1960-1970,Nordeste,AL,Alagoas,Total,60+,Total,-7613.20730867347,0,66813,78116,-0.0974602809753887,0
1960-1970,Nordeste,AL,Alagoas,Urbano,0-4,Homens,-43.8485388459812,-131.545616537944,32661,49321,-0.000889043994363075,-0.00266713198308923
1960-1970,Nordeste,AL,Alagoas,Urbano,0-4,Mulheres,300.958761474089,902.876284422266,32340,49707,0.00605465551077491,0.0181639665323247
1960-1970,Nordeste,AL,Alagoas,Urbano,0-4,Total,257.110222628107,771.330667884322,65001,99028,0.00259633863784089,0.00778901591352266
1960-1970,Nordeste,AL,Alagoas,Urbano,5-9,Homens,2570.36473870766,856.788246235887,28927,45467,0.0565325343371601,0.0188441781123867
1960-1970,Nordeste,AL,Alagoas,Urbano,5-9,Mulheres,3565.73207297883,1188.57735765961,29371,46045,0.0774401579537156,0.0258133859845719
1960-1970,Nordeste,AL,Alagoas,Urbano,5-9,Total,6136.09681168649,2045.3656038955,58298,91512,0.067052373586923,0.022350791195641
1960-1970,Nordeste,AL,Alagoas,Urbano,10-14,Homens,5379.89993448899,0,24729,38480,0.139810289357822,0
1960-1970,Nordeste,AL,Alagoas,Urbano,10-14,Mulheres,7577.41678129248,0,27461,41353,0.183237414003639,0
1960-1970,Nordeste,AL,Alagoas,Urbano,10-14,Total,12957.3167157815,0,52190,79833,0.1623052712009,0
1960-1970,Nordeste,AL,Alagoas,Urbano,15-19,Homens,5653.73419787049,0,19952,33255,0.170011553085867,0
1960-1970,Nordeste,AL,Alagoas,Urbano,15-19,Mulheres,9408.85797847455,0,24843,40042,0.234974725999564,0
1960-1970,Nordeste,AL,Alagoas,Urbano,15-19,Total,15062.592176345,0,44795,73297,0.205500800528603,0
1960-1970,Nordeste,AL,Alagoas,Urbano,20-24,Homens,2727.92313312537,0,14896,25676,0.106244085259595,0
1960-1970,Nordeste,AL,Alagoas,Urbano,20-24,Mulheres,3851.75811810957,0,20180,30978,0.1243385021018,0
1960-1970,Nordeste,AL,Alagoas,Urbano,20-24,Total,6579.68125123494,0,35076,56654,0.116137982335491,0
1960-1970,Nordeste,AL,Alagoas,Urbano,25-29,Homens,1058.77357574722,0,11927,18969,0.0558159932388222,0
1960-1970,Nordeste,AL,Alagoas,Urbano,25-29,Mulheres,1314.72678847486,0,16769,23280,0.0564745184052774,0
1960-1970,Nordeste,AL,Alagoas,Urbano,25-29,Total,2373.50036422208,0,28696,42249,0.0561788530905365,0
1960-1970,Nordeste,AL,Alagoas,Urbano,30-34,Homens,1988.14157178497,0,10672,15480,0.128432918073965,0
1960-1970,Nordeste,AL,Alagoas,Urbano,30-34,Mulheres,1494.67944382758,0,13804,19039,0.0785061948541192,0
1960-1970,Nordeste,AL,Alagoas,Urbano,30-34,Total,3482.82101561255,0,24476,34519,0.100895768000595,0
1960-1970,Nordeste,AL,Alagoas,Urbano,35-39,Homens,2323.95373873839,0,10592,13727,0.169298006755911,0
1960-1970,Nordeste,AL,Alagoas,Urbano,35-39,Mulheres,2161.22906220843,0,13148,17938,0.120483279195475,0
1960-1970,Nordeste,AL,Alagoas,Urbano,35-39,Total,4485.18280094682,0,23740,31665,0.141644806598668,0
1960-1970,Nordeste,AL,Alagoas,Urbano,40-44,Homens,2534.63947274329,0,9088,13031,0.194508439317266,0
1960-1970,Nordeste,AL,Alagoas,Urbano,40-44,Mulheres,1964.0322440179,0,10540,15356,0.12789998984227,0
1960-1970,Nordeste,AL,Alagoas,Urbano,40-44,Total,4498.67171676119,0,19628,28387,0.158476475737527,0
1960-1970,Nordeste,AL,Alagoas,Urbano,45-49,Homens,1645.6387120389,0,8160,10918,0.150727121454378,0
1960-1970,Nordeste,AL,Alagoas,Urbano,45-49,Mulheres,1159.02119480828,0,9320,12406,0.0934242459139352,0
1960-1970,Nordeste,AL,Alagoas,Urbano,45-49,Total,2804.65990684718,0,17480,23324,0.120247809417217,0
1960-1970,Nordeste,AL,Alagoas,Urbano,50-54,Homens,1702.55980576223,0,6783,9487,0.179462401787945,0
1960-1970,Nordeste,AL,Alagoas,Urbano,50-54,Mulheres,1446.77261567647,0,8066,10841,0.133453797221333,0
1960-1970,Nordeste,AL,Alagoas,Urbano,50-54,Total,3149.33242143871,0,14849,20328,0.154925837339566,0
1960-1970,Nordeste,AL,Alagoas,Urbano,55-59,Homens,793.670693034075,0,4974,7248,0.109502027184613,0
1960-1970,Nordeste,AL,Alagoas,Urbano,55-59,Mulheres,256.893864734848,0,5746,7904,0.0325017541415546,0
1960-1970,Nordeste,AL,Alagoas,Urbano,55-59,Total,1050.56455776892,0,10720,15152,0.069335042091402,0
1960-1970,Nordeste,AL,Alagoas,Urbano,60+,Homens,1811.49253990948,0,11018,15456,0.117203192281928,0
1960-1970,Nordeste,AL,Alagoas,Urbano,60+,Mulheres,1300.25443266831,0,13960,19369,0.0671306950626418,0
1960-1970,Nordeste,AL,Alagoas,Urbano,60+,Total,3111.74697257779,0,24978,34825,0.0893538254867995,0
1970-1980,Nordeste,AL,Alagoas,Rural,0-4,Homens,-13539.5982621737,-40618.794786521,85323,91659,-0.147717062832604,-0.443151188497813
1970-1980,Nordeste,AL,Alagoas,Rural,0-4,Mulheres,-12565.8568392493,-37697.5705177478,86274,92204,-0.136283207227987,-0.40884962168396
1970-1980,Nordeste,AL,Alagoas,Rural,0-4,Total,-26105.4551014229,-78316.3653042688,171597,183863,-0.141983189121373,-0.425949567364118
1970-1980,Nordeste,AL,Alagoas,Rural,5-9,Homens,-26851.1661412909,-8950.38871376362,77201,78851,-0.340530445286564,-0.113510148428855
1970-1980,Nordeste,AL,Alagoas,Rural,5-9,Mulheres,-25147.8832823828,-8382.62776079427,76665,78686,-0.319597937147432,-0.106532645715811
1970-1980,Nordeste,AL,Alagoas,Rural,5-9,Total,-51999.0494236737,-17333.0164745579,153866,157537,-0.330075153288902,-0.110025051096301
1970-1980,Nordeste,AL,Alagoas,Rural,10-14,Homens,-14940.406273531,0,63027,70698,-0.211327141836134,0
1970-1980,Nordeste,AL,Alagoas,Rural,10-14,Mulheres,-18997.0179063081,0,62395,68646,-0.276738890923115,0
1970-1980,Nordeste,AL,Alagoas,Rural,10-14,Total,-33937.4241798391,0,125422,139344,-0.243551384916746,0
1970-1980,Nordeste,AL,Alagoas,Rural,15-19,Homens,-20662.4280917889,0,52863,54743,-0.377444204588512,0
1970-1980,Nordeste,AL,Alagoas,Rural,15-19,Mulheres,-25066.2679412411,0,53066,53454,-0.468931566229675,0
1970-1980,Nordeste,AL,Alagoas,Rural,15-19,Total,-45728.69603303,0,105929,108197,-0.422642920164422,0
1970-1980,Nordeste,AL,Alagoas,Rural,20-24,Homens,-20773.971180533,0,39777,38598,-0.538213668597674,0
1970-1980,Nordeste,AL,Alagoas,Rural,20-24,Mulheres,-21574.4311078801,0,41210,39370,-0.547991646123448,0
1970-1980,Nordeste,AL,Alagoas,Rural,20-24,Total,-42348.4022884131,0,80987,77968,-0.543151065673265,0
1970-1980,Nordeste,AL,Alagoas,Rural,25-29,Homens,-16809.909598337,0,31455,31373,-0.535808166204603,0
1970-1980,Nordeste,AL,Alagoas,Rural,25-29,Mulheres,-16510.3160404509,0,32744,31339,-0.526829702302273,0
1970-1980,Nordeste,AL,Alagoas,Rural,25-29,Total,-33320.225638788,0,64199,62712,-0.531321368139877,0
1970-1980,Nordeste,AL,Alagoas,Rural,30-34,Homens,-10373.3185872207,0,24237,26141,-0.396821796687987,0
1970-1980,Nordeste,AL,Alagoas,Rural,30-34,Mulheres,-11580.8943744993,0,25124,25493,-0.454277424175235,0
1970-1980,Nordeste,AL,Alagoas,Rural,30-34,Total,-21954.2129617199,0,49361,51634,-0.425189080096834,0
1970-1980,Nordeste,AL,Alagoas,Rural,35-39,Homens,-6887.2427298788,0,21105,23127,-0.297800956884974,0
1970-1980,Nordeste,AL,Alagoas,Rural,35-39,Mulheres,-7397.8280899098,0,23004,23659,-0.31268557800033,0
1970-1980,Nordeste,AL,Alagoas,Rural,35-39,Total,-14285.0708197886,0,44109,46786,-0.305327893382392,0
1970-1980,Nordeste,AL,Alagoas,Rural,40-44,Homens,-3030.09035166676,0,19999,20689,-0.146459004865714,0
1970-1980,Nordeste,AL,Alagoas,Rural,40-44,Mulheres,-4469.06756529702,0,19261,20024,-0.223185555598133,0
1970-1980,Nordeste,AL,Alagoas,Rural,40-44,Total,-7499.15791696378,0,39260,40713,-0.18419566027961,0
1970-1980,Nordeste,AL,Alagoas,Rural,45-49,Homens,-3288.46932828871,0,15802,15148,-0.217089340394026,0
1970-1980,Nordeste,AL,Alagoas,Rural,45-49,Mulheres,-4843.05683160342,0,14450,15337,-0.315776020838718,0
1970-1980,Nordeste,AL,Alagoas,Rural,45-49,Total,-8131.52615989212,0,30252,30485,-0.266738597995477,0
1970-1980,Nordeste,AL,Alagoas,Rural,50-54,Homens,-3371.44376256471,0,14795,13292,-0.253644580391567,0
1970-1980,Nordeste,AL,Alagoas,Rural,50-54,Mulheres,-4265.94303249657,0,12862,12711,-0.335610340059521,0
1970-1980,Nordeste,AL,Alagoas,Rural,50-54,Total,-7637.38679506127,0,27657,26003,-0.293711756145878,0
1970-1980,Nordeste,AL,Alagoas,Rural,55-59,Homens,-1711.73625073892,0,10259,10919,-0.156766759844209,0
1970-1980,Nordeste,AL,Alagoas,Rural,55-59,Mulheres,-2579.27730132185,0,8466,9707,-0.265713124685469,0
1970-1980,Nordeste,AL,Alagoas,Rural,55-59,Total,-4291.01355206077,0,18725,20626,-0.208039055176029,0
1970-1980,Nordeste,AL,Alagoas,Rural,60+,Homens,699.00280344551,0,23304,30427,0.0229731095226447,0
1970-1980,Nordeste,AL,Alagoas,Rural,60+,Mulheres,-1840.31575340519,0,19987,26688,-0.0689566754123646,0
1970-1980,Nordeste,AL,Alagoas,Rural,60+,Total,-1141.31294995968,0,43291,57115,-0.0199827181994166,0
1970-1980,Nordeste,AL,Alagoas,Total,0-4,Homens,-9507.82639172999,-28523.47917519,134644,163370,-0.0581981171067515,-0.174594351320254
1970-1980,Nordeste,AL,Alagoas,Total,0-4,Mulheres,-8131.15540872281,-24393.4662261684,135981,164312,-0.0494860716729321,-0.148458215018796
1970-1980,Nordeste,AL,Alagoas,Total,0-4,Total,-17638.9818004528,-52916.9454013584,270625,327682,-0.0538295719644436,-0.161488715893331
1970-1980,Nordeste,AL,Alagoas,Total,5-9,Homens,-17709.1547353627,-5903.05157845422,122668,145157,-0.122000005065981,-0.0406666683553271
1970-1980,Nordeste,AL,Alagoas,Total,5-9,Mulheres,-15180.6061304317,-5060.20204347723,122710,145019,-0.104680118677082,-0.0348933728923605
1970-1980,Nordeste,AL,Alagoas,Total,5-9,Total,-32889.7608657944,-10963.2536219315,245378,290176,-0.113344180310551,-0.0377813934368502
1970-1980,Nordeste,AL,Alagoas,Total,10-14,Homens,-1946.10563457277,0,101507,133336,-0.0145955003492888,0
1970-1980,Nordeste,AL,Alagoas,Total,10-14,Mulheres,-3741.92880981285,0,103748,134560,-0.0278086267078838,0
1970-1980,Nordeste,AL,Alagoas,Total,10-14,Total,-5688.03444438562,0,205255,267896,-0.0212322485008571,0
1970-1980,Nordeste,AL,Alagoas,Total,15-19,Homens,-10888.7947899065,0,86118,108976,-0.0999192004653,0
1970-1980,Nordeste,AL,Alagoas,Total,15-19,Mulheres,-11117.5002199204,0,93108,114609,-0.0970037276297704,0
1970-1980,Nordeste,AL,Alagoas,Total,15-19,Total,-22006.2950098269,0,179226,223585,-0.0984247378394208,0
1970-1980,Nordeste,AL,Alagoas,Total,20-24,Homens,-16098.2563762263,0,65453,79577,-0.202297854609074,0
1970-1980,Nordeste,AL,Alagoas,Total,20-24,Mulheres,-14191.8839389282,0,72188,87191,-0.162767762027368,0
1970-1980,Nordeste,AL,Alagoas,Total,20-24,Total,-30290.1403151545,0,137641,166768,-0.181630410601282,0
1970-1980,Nordeste,AL,Alagoas,Total,25-29,Homens,-14820.7795719519,0,50424,63737,-0.232530234745154,0
1970-1980,Nordeste,AL,Alagoas,Total,25-29,Mulheres,-14370.3749708158,0,56024,69639,-0.20635527464231,0
1970-1980,Nordeste,AL,Alagoas,Total,25-29,Total,-29191.1545427678,0,106448,133376,-0.21886362271149,0
1970-1980,Nordeste,AL,Alagoas,Total,30-34,Homens,-7683.94145060914,0,39717,52464,-0.146461220086328,0
1970-1980,Nordeste,AL,Alagoas,Total,30-34,Mulheres,-9046.53667508822,0,44163,55951,-0.161686773696417,0
1970-1980,Nordeste,AL,Alagoas,Total,30-34,Total,-16730.4781256974,0,83880,108415,-0.154318850027186,0
1970-1980,Nordeste,AL,Alagoas,Total,35-39,Homens,-2933.2406823574,0,34832,45245,-0.0648301620589546,0
1970-1980,Nordeste,AL,Alagoas,Total,35-39,Mulheres,-4246.99835147164,0,40942,48947,-0.0867672860741544,0
1970-1980,Nordeste,AL,Alagoas,Total,35-39,Total,-7180.23903382904,0,75774,94192,-0.0762298181780728,0
1970-1980,Nordeste,AL,Alagoas,Total,40-44,Homens,622.671233755944,0,33030,39555,0.0157419095880658,0
1970-1980,Nordeste,AL,Alagoas,Total,40-44,Mulheres,-849.092083559241,0,34617,42264,-0.0200901969420604,0
1970-1980,Nordeste,AL,Alagoas,Total,40-44,Total,-226.420849803297,0,67647,81819,-0.00276733826865761,0
1970-1980,Nordeste,AL,Alagoas,Total,45-49,Homens,-634.159136249076,0,26720,29856,-0.0212405927200253,0
1970-1980,Nordeste,AL,Alagoas,Total,45-49,Mulheres,-2562.44977008317,0,26856,33417,-0.0766810237329255,0
1970-1980,Nordeste,AL,Alagoas,Total,45-49,Total,-3196.60890633225,0,53576,63273,-0.0505209000099924,0
1970-1980,Nordeste,AL,Alagoas,Total,50-54,Homens,-1063.8731004069,0,24282,26527,-0.0401052927359633,0
1970-1980,Nordeste,AL,Alagoas,Total,50-54,Mulheres,-1631.37476818865,0,23703,28948,-0.0563553533297169,0
1970-1980,Nordeste,AL,Alagoas,Total,50-54,Total,-2695.24786859554,0,47985,55475,-0.0485849097538629,0
1970-1980,Nordeste,AL,Alagoas,Total,55-59,Homens,344.494217523425,0,17507,21769,0.0158249904691729,0
1970-1980,Nordeste,AL,Alagoas,Total,55-59,Mulheres,-766.303641275001,0,16370,22132,-0.0346242382647298,0
1970-1980,Nordeste,AL,Alagoas,Total,55-59,Total,-421.809423751576,0,33877,43901,-0.00960819625410756,0
1970-1980,Nordeste,AL,Alagoas,Total,60+,Homens,9351.44674563578,0,38760,59074,0.158300550929949,0
1970-1980,Nordeste,AL,Alagoas,Total,60+,Mulheres,7313.4993958641,0,39356,62156,0.117663610847933,0
1970-1980,Nordeste,AL,Alagoas,Total,60+,Total,16664.9461414999,0,78116,121230,0.137465529501773,0
1970-1980,Nordeste,AL,Alagoas,Urbano,0-4,Homens,1184.29608072803,3552.88824218409,49321,71711,0.0165148454313568,0.0495445362940705
1970-1980,Nordeste,AL,Alagoas,Urbano,0-4,Mulheres,1660.22231162552,4980.66693487656,49707,72108,0.0230241070564365,0.0690723211693094
1970-1980,Nordeste,AL,Alagoas,Urbano,0-4,Total,2844.51839235355,8533.55517706065,99028,143819,0.0197784603727849,0.0593353811183547
1970-1980,Nordeste,AL,Alagoas,Urbano,5-9,Homens,5369.0621977205,1789.68739924017,45467,66306,0.0809740023183498,0.0269913341061166
1970-1980,Nordeste,AL,Alagoas,Urbano,5-9,Mulheres,6298.8664990055,2099.62216633517,46045,66333,0.0949582635943723,0.0316527545314574
1970-1980,Nordeste,AL,Alagoas,Urbano,5-9,Total,11667.928696726,3889.30956557533,91512,132639,0.0879675562747457,0.0293225187582486
