decada,nome_regiao,estado,nome_estado,urbano_rural,grupo_etario,sexid,saldo_migratorio,saldo_migratorio_indireto,populacao_t,populacao_t_10,taxa_liquida_migracao,taxa_liquida_migracao_ind
1960-1970,Centro-Oeste,GO,Goiás,Urbano,Total,Mulheres,198750.701838423,26308.4218665111,296092,630616,0.315169139124956,0.0417186082600364
1960-1970,Centro-Oeste,GO,Goiás,Urbano,Total,Total,388681.638818218,52121.2824595659,575093,1233641,0.315068677855404,0.0422499596394461
1960-1970,Centro-Oeste,GO,Goiás,Rural,Total,Homens,-92205.3662725864,-32812.4033682083,702888,896712,-0.102826064859828,-0.0365919084033762
1960-1970,Centro-Oeste,GO,Goiás,Rural,Total,Mulheres,-131226.293448436,-29737.3739545573,634374,800381,-0.163954783344977,-0.0371540228398191
1960-1970,Centro-Oeste,GO,Goiás,Rural,Total,Total,-223431.659721022,-62549.7773227656,1337262,1697093,-0.131655519008694,-0.0368570121512289
1960-1970,Centro-Oeste,GO,Goiás,Total,Total,Homens,107788.038887352,5869.50817846727,981889,1499737,0.0718712940251207,0.00391369165291466
1960-1970,Centro-Oeste,GO,Goiás,Total,Total,Mulheres,76803.5665724409,8981.33522343577,930466,1430997,0.0536713679850069,0.00627627816371088
1960-1970,Centro-Oeste,GO,Goiás,Total,Total,Total,184591.605459793,14850.843401903,1912355,2930734,0.0629847695013581,0.00506727782251922
1960-1970,Centro-Oeste,MT,Mato Grosso,Urbano,Total,Homens,92481.8898881527,12708.7508741052,168839,337433,0.274074823411322,0.037663034955399
1960-1970,Centro-Oeste,MT,Mato Grosso,Urbano,Total,Mulheres,93881.9984217738,12834.3332577149,173976,345566,0.27167602837598,0.0371400347769019
1960-1970,Centro-Oeste,MT,Mato Grosso,Urbano,Total,Total,186363.888309927,25543.0841318201,342815,682999,0.272861143735096,0.0373984209813192
1960-1970,Centro-Oeste,MT,Mato Grosso,Rural,Total,Homens,66128.6408706084,6942.14170076092,294634,493982,0.133868523287505,0.0140534304909104
1960-1970,Centro-Oeste,MT,Mato Grosso,Rural,Total,Mulheres,27411.7462717578,6387.12958348789,250830,417068,0.0657248848431378,0.015314360208618
1960-1970,Centro-Oeste,MT,Mato Grosso,Rural,Total,Total,93540.3871423662,13329.2712842488,545464,911050,0.102673165185628,0.0146306693202885
1960-1970,Centro-Oeste,MT,Mato Grosso,Total,Total,Homens,160680.277610693,22724.2360365736,463473,831415,0.193261220462335,0.0273320015113675
1960-1970,Centro-Oeste,MT,Mato Grosso,Total,Total,Mulheres,123463.514466788,22242.4559300473,424806,762634,0.161890912897652,0.0291653085622295
1960-1970,Centro-Oeste,MT,Mato Grosso,Total,Total,Total,284143.792077481,44966.6919666209,888279,1594049,0.178252859276898,0.0282091027105321
1960-1970,Sudeste,ES,Espírito Santo,Urbano,Total,Homens,96982.9281393706,13131.7344876443,178287,350000,0.277094080398202,0.0375192413932693
1960-1970,Sudeste,ES,Espírito Santo,Urbano,Total,Mulheres,105612.140646621,13622.7966721934,189138,371020,0.284653497511243,0.0367171491353388
1960-1970,Sudeste,ES,Espírito Santo,Urbano,Total,Total,202595.068785992,26754.5311598377,367425,721020,0.280983979343142,0.0371065035086928
